id,medicine_code,brand_name,generic_name,strength,formulation,manufacturer,search_key,is_active,created_at,updated_at
d663e3fb-f1d6-4ff0-bf99-3b7f6c04bff7,MED000001,Paracetamol,Paracetamol,650 mg,Tablet,null,paracetamol pcm 650,true,2026-07-24 12:17:44.724817+00,2026-07-24 12:17:44.724817+00
2e8e52c3-62be-489f-a074-bbd56f55a31d,MED000002,Dolo 650,Paracetamol,650 mg,Tablet,Micro Labs,dolo650 dolo paracetamol pcm650,true,2026-07-24 12:17:44.724817+00,2026-07-24 12:17:44.724817+00
17d89d91-47ff-4fae-9ea4-a48eaa5e3abe,MED000003,Crocin 650,Paracetamol,650 mg,Tablet,Haleon,crocin650 crocin paracetamol,true,2026-07-24 12:17:44.724817+00,2026-07-24 12:17:44.724817+00
b925da1d-0c12-47bb-98f9-3aeff844aeeb,MED000004,Calpol 650,Paracetamol,650 mg,Tablet,GSK,calpol650 calpol paracetamol,true,2026-07-24 12:17:44.724817+00,2026-07-24 12:17:44.724817+00
fc53bee0-7f5c-42cd-aced-faa0f9fc7cc2,MED000005,Meftal Spas,Mefenamic Acid + Dicyclomine,null,Tablet,Blue Cross,meftal spas mefenamic dicyclomine,true,2026-07-24 12:17:44.724817+00,2026-07-24 12:17:44.724817+00
85580852-27c8-436b-b385-a7d8c053c4a3,MED000006,Meftal Forte,Mefenamic Acid,500 mg,Tablet,Blue Cross,meftal forte mefenamic,true,2026-07-24 12:17:44.724817+00,2026-07-24 12:17:44.724817+00
8b892e59-586e-4870-b292-50f384fdf7e4,MED000007,Brufen 400,Ibuprofen,400 mg,Tablet,Abbott,brufen ibuprofen 400,true,2026-07-24 12:17:44.724817+00,2026-07-24 12:17:44.724817+00
044092cb-c575-4f16-9e6c-9404094d34b8,MED000008,Combiflam,Ibuprofen + Paracetamol,null,Tablet,Sanofi,combiflam ibuprofen paracetamol,true,2026-07-24 12:17:44.724817+00,2026-07-24 12:17:44.724817+00
779353c9-3bdc-4ad8-b5dd-fdc0f875cf2b,MED000009,Zerodol SP,Aceclofenac + Paracetamol + Serratiopeptidase,null,Tablet,Ipca,zerodol sp aceclofenac,true,2026-07-24 12:17:44.724817+00,2026-07-24 12:17:44.724817+00
8251021e-bba1-43f2-923d-a3d022345dab,MED000010,Ultracet,Tramadol + Paracetamol,null,Tablet,Janssen,ultracet tramadol paracetamol,true,2026-07-24 12:17:44.724817+00,2026-07-24 12:17:44.724817+00
63f70191-334f-49b5-88e8-de2ca297bc28,MED000011,Augmentin 625,Amoxicillin + Clavulanic Acid,625 mg,Tablet,GSK,augmentin625 augmentin amoxyclav,true,2026-07-24 12:17:44.724817+00,2026-07-24 12:17:44.724817+00
ee1579cb-9849-4fe0-938f-2bf64628ef88,MED000012,Augmentin Duo,Amoxicillin + Clavulanic Acid,null,Suspension,GSK,augmentin duo,true,2026-07-24 12:17:44.724817+00,2026-07-24 12:17:44.724817+00
26e66108-c838-461c-b1d3-86dc7977f6b8,MED000013,Azithral 500,Azithromycin,500 mg,Tablet,Alembic,azithral500 azithromycin,true,2026-07-24 12:17:44.724817+00,2026-07-24 12:17:44.724817+00
